fid,cat,from_cat,to_cat,cost
"25062","179","12","15",33244.14
"25063","202","14","7",38299.519
"25064","203","14","8",47892.536
"25065","209","14","15",17500.22
"25066","105","7","16",29023.262
"25067","120","8","16",38617.004
"25068","225","15","16",7970.342
"25069","232","16","7",29038.636
"25070","233","16","8",38631.653
"25071","240","16","15",8202.135
"25072","230","16","5",6385.887
"25073","75","5","16",6385.887
"25074","14","1","15",21988.005
"25075","29","2","15",20126.828
"25076","44","3","15",24813.45
"25077","89","6","15",19696.175
"25078","134","9","15",36047.169
"25079","149","10","15",32653.992
"25080","164","11","15",27771.714
"25081","60","4","16",7084.258
"25082","195","13","16",9635.426
"25083","229","16","4",7027.227
"25084","238","16","13",9532.286
"25085","200","14","5",17149.991
"25086","229","16","4",7027.227
"25087","238","16","13",9532.286
"25088","61","5","1",13424.031
"25089","62","5","2",10791.239
"25090","63","5","3",16054.306
"25091","65","5","6",10725.128
"25092","68","5","9",27157.792
"25093","69","5","10",23778.847
"25094","70","5","11",19076.824
"25095","71","5","12",25673.049
"25096","3","1","4",12235.1
"25097","4","1","5",13145.34
"25098","18","2","4",10373.923
"25099","19","2","5",11284.163
"25100","33","3","4",15060.545
"25101","34","3","5",15970.785
"25102","79","6","4",9943.27
"25103","80","6","5",10853.51
"25104","124","9","4",26294.264
"25105","125","9","5",27204.504
"25106","139","10","4",22901.087
"25107","140","10","5",23811.327
"25108","154","11","4",18018.809
"25109","155","11","5",18929.049
"25110","169","12","4",24737.471
"25111","170","12","5",25647.711
"25112","199","14","4",17210.186
"25113","46","4","1",12589.482
"25114","47","4","2",9956.69
"25115","48","4","3",15219.757
"25116","50","4","6",9890.579
"25117","53","4","9",26323.243
"25118","54","4","10",22944.298
"25119","55","4","11",18242.275
"25120","56","4","12",24838.5
"25121","58","4","14",17054.15
"25122","12","1","13",13679.575
"25123","27","2","13",11818.398
"25124","42","3","13",16505.02
"25125","87","6","13",11387.745
"25126","132","9","13",27738.739
"25127","147","10","13",24345.562
"25128","162","11","13",19463.284
"25129","177","12","13",26181.946
"25130","208","14","13",18654.661
"25131","51","4","7",33203.422
"25132","52","4","8",42796.439
"25133","59","4","15",11868.043
"25134","66","5","7",31881.864
"25135","67","5","8",41474.881
"25136","74","5","15",10546.485
"25137","187","13","7",35282.18
"25138","188","13","8",44875.197
"25139","194","13","15",13946.801
"25140","94","7","4",33052.04
"25141","95","7","5",31721.498
"25142","102","7","13",35098.268
"25143","109","8","4",42645.782
"25144","110","8","5",41315.24
"25145","117","8","13",44692.01
"25146","214","15","4",11740.967
"25147","215","15","5",10410.425
"25148","223","15","13",13787.195
"25149","105","7","16",29023.262
"25150","120","8","16",38617.004
"25151","225","15","16",7970.342
"25152","232","16","7",29038.636
"25153","233","16","8",38631.653
"25154","240","16","15",8202.135
"25155","14","1","15",21988.005
"25156","29","2","15",20126.828
"25157","44","3","15",24813.45
"25158","89","6","15",19696.175
"25159","134","9","15",36047.169
"25160","149","10","15",32653.992
"25161","164","11","15",27771.714
"25162","91","7","1",43115.563
"25163","92","7","2",40482.771
"25164","93","7","3",45745.838
"25165","96","7","6",40416.66
"25166","98","7","9",56849.324
"25167","99","7","10",53470.379
"25168","100","7","11",48768.356
"25169","106","8","1",52709.305
"25170","107","8","2",50076.513
"25171","108","8","3",55339.58
"25172","111","8","6",50010.402
"25173","113","8","9",66443.066
"25174","114","8","10",63064.121
"25175","115","8","11",58362.098
"25176","211","15","1",22062.643
"25177","212","15","2",19429.851
"25178","213","15","3",24692.918
"25179","216","15","6",19363.74
"25180","219","15","9",35796.404
"25181","220","15","10",32417.459
"25182","221","15","11",27715.436
"25183","51","4","7",33203.422
"25184","52","4","8",42796.439
